respondent_id,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9
336,CO,LK,MW,JR,MRJ,ZN,DH,RH,BE
337,RH,BE,LK,DH,MRJ,MW,CO,JR,ZN
338,MW,CO,LK,MRJ,DH,RH,ZN,JR,BE
339,CO,MW,JR,ZN,MRJ,LK,DH,RH,BE
340,RH,MRJ,DH,MW,CO,LK,ZN,BE,JR
341,LK,CO,MW,MRJ,DH,RH,JR,ZN,BE
342,MW,CO,LK,MRJ,ZN,DH,JR,BE,RH
343,CO,LK,MW,JR,MRJ,ZN,DH,BE,RH
344,MW,MRJ,RH,DH,LK,CO,BE,JR,ZN
345,CO,LK,MW,MRJ,JR,ZN,DH,RH,BE
346,JR,CO,ZN,MW,LK,MRJ,DH,RH,BE
347,DH,RH,MRJ,BE,LK,MW,CO,ZN,JR
348,CO,JR,ZN,MW,MRJ,LK,BE,RH,DH
349,MRJ,MW,DH,ZN,RH,BE,LK,JR,CO
350,CO,MW,MRJ,LK,DH,JR,RH,ZN,BE
351,RH,MRJ,MW,DH,LK,CO,ZN,BE,JR
352,RH,DH,MRJ,BE,LK,MW,CO,ZN,JR
353,LK,MRJ,DH,MW,RH,CO,ZN,BE,JR
354,MW,ZN,MRJ,CO,LK,DH,JR,RH,BE
355,CO,MW,MRJ,JR,ZN,LK,DH,BE,RH
356,LK,MW,MRJ,RH,DH,CO,BE,JR,ZN
357,RH,DH,MRJ,MW,BE,LK,JR,CO,ZN
358,DH,MRJ,RH,BE,CO,JR,MW,ZN,LK
359,BE,RH,DH,LK,MRJ,CO,MW,ZN,JR
360,BE,DH,RH,MRJ,JR,MW,LK,CO,ZN
361,MRJ,DH,MW,RH,LK,CO,ZN,BE,JR
362,MW,CO,LK,MRJ,DH,JR,RH,ZN,BE
363,MW,CO,JR,MRJ,LK,DH,ZN,RH,BE
364,RH,MRJ,MW,DH,CO,BE,JR,LK,ZN
365,ZN,MW,MRJ,DH,CO,RH,LK,JR,BE
366,MRJ,DH,RH,MW,LK,CO,ZN,JR,BE
367,LK,RH,MRJ,MW,CO,DH,JR,BE,ZN
368,RH,MRJ,DH,LK,MW,CO,JR,BE,ZN
369,LK,RH,MRJ,MW,DH,CO,ZN,BE,JR
370,RH,MRJ,LK,DH,MW,CO,BE,ZN,JR
371,DH,RH,MRJ,MW,LK,BE,JR,ZN,CO
372,LK,MRJ,MW,CO,DH,RH,JR,BE,ZN
373,LK,CO,MRJ,MW,RH,DH,BE,ZN,JR
374,RH,MW,MRJ,DH,JR,LK,BE,ZN,CO
375,JR,ZN,CO,MW,MRJ,LK,DH,BE,RH
376,MW,ZN,MRJ,CO,LK,JR,DH,RH,BE
377,DH,MRJ,LK,MW,RH,BE,JR,ZN,CO
378,CO,LK,MW,MRJ,DH,RH,ZN,BE,JR
379,DH,MRJ,MW,RH,CO,ZN,BE,LK,JR
380,JR,CO,MW,ZN,MRJ,LK,RH,DH,BE
381,MW,ZN,MRJ,CO,LK,DH,JR,RH,BE
382,LK,CO,MW,MRJ,RH,DH,JR,BE,ZN
383,BE,DH,RH,MRJ,MW,JR,LK,ZN,CO
384,RH,DH,MRJ,MW,BE,CO,ZN,LK,JR
385,LK,RH,BE,DH,MRJ,MW,ZN,JR,CO
386,BE,DH,RH,MRJ,ZN,LK,CO,MW,JR
387,MW,MRJ,ZN,DH,JR,BE,RH,LK,CO
388,ZN,MW,MRJ,DH,CO,LK,JR,RH,BE
389,MRJ,MW,DH,LK,CO,RH,JR,ZN,BE
390,DH,RH,MRJ,LK,MW,BE,JR,CO,ZN
391,MRJ,DH,BE,JR,CO,ZN,LK,MW,RH
392,RH,MRJ,DH,BE,MW,ZN,JR,LK,CO
393,DH,MRJ,RH,LK,BE,MW,JR,CO,ZN
394,CO,JR,ZN,MW,LK,MRJ,DH,BE,RH
395,JR,MW,CO,ZN,MRJ,LK,DH,BE,RH
396,RH,BE,DH,LK,MRJ,MW,ZN,JR,CO
397,BE,DH,RH,MRJ,ZN,JR,LK,CO,MW
398,LK,MRJ,RH,DH,MW,CO,JR,BE,ZN
399,LK,MRJ,MW,RH,CO,DH,BE,JR,ZN
400,CO,MW,LK,RH,MRJ,DH,BE,ZN,JR
401,JR,CO,MW,MRJ,LK,ZN,DH,RH,BE
402,MW,CO,LK,MRJ,DH,RH,ZN,JR,BE
403,MRJ,MW,LK,CO,DH,ZN,JR,RH,BE
404,MRJ,ZN,MW,DH,BE,LK,JR,RH,CO
405,JR,ZN,CO,MW,MRJ,LK,BE,DH,RH
406,MRJ,MW,RH,DH,LK,JR,ZN,CO,BE
407,RH,MW,MRJ,DH,LK,BE,JR,CO,ZN
408,MRJ,DH,MW,RH,BE,LK,ZN,CO,JR
409,MRJ,MW,DH,ZN,RH,BE,LK,CO,JR
410,LK,CO,RH,MW,DH,MRJ,BE,ZN,JR
411,MW,MRJ,ZN,CO,LK,DH,JR,BE,RH
412,JR,CO,ZN,MW,MRJ,LK,DH,RH,BE
413,DH,MRJ,RH,MW,CO,LK,ZN,BE,JR
414,RH,DH,MRJ,BE,LK,MW,CO,ZN,JR
415,RH,DH,MRJ,MW,BE,JR,ZN,CO,LK
416,BE,RH,DH,MRJ,LK,ZN,CO,MW,JR
417,ZN,MW,MRJ,CO,LK,JR,DH,BE,RH
418,CO,JR,ZN,MW,MRJ,LK,DH,RH,BE
419,LK,RH,MRJ,MW,DH,CO,ZN,BE,JR
420,ZN,MW,MRJ,BE,DH,LK,CO,RH,JR
421,MRJ,DH,MW,BE,CO,RH,LK,ZN,JR
422,MRJ,DH,MW,RH,ZN,JR,LK,CO,BE
423,LK,CO,RH,MRJ,MW,DH,JR,BE,ZN
424,MRJ,MW,DH,RH,ZN,JR,LK,CO,BE
425,LK,DH,MRJ,RH,MW,CO,JR,BE,ZN
426,CO,MW,JR,MRJ,ZN,LK,DH,RH,BE
427,CO,MW,JR,MRJ,LK,ZN,DH,BE,RH
428,RH,DH,LK,MRJ,BE,MW,ZN,JR,CO
