pid3,ideo5,inputstate,commonpostweight,govt_trust_imputed,FS_F1,FS_F2,FS_F3,FS_F4_resid,cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2,prob_cluster_3,prob_cluster_4,prob_cluster_5,prob_cluster_6,prob_cluster_7,prob_cluster_8,prob_cluster_9
1.0,1.0,32.0,2.597283656590816,1,-1.4507782521332695,0.8212684286577334,-0.282603671690771,-0.246969497586048,7,1.1605294952708276e-34,0.02137619973936333,2.0790649065259367e-199,0.0001554886589181935,1.81520664065108e-12,6.149311979819638e-20,1.7839863553456545e-19,0.9624176677813342,0.016050643818569084,5.834782084893169e-58
1.0,3.0,48.0,0.8249358205635353,0,-0.3889837911284547,0.2153935185371323,0.989445390577368,-0.5389744681728217,6,2.2018376630833877e-07,0.129580468667173,4.544168196845e-80,0.012667151715025977,0.034018567352536604,0.011155705040027612,0.7367379759176741,2.8027717564923273e-89,0.07583991110429215,1.950411482337984e-11
2.0,3.0,6.0,1.554774045123902,0,0.6966790798443953,0.8880976896160043,-0.6936190102623077,-0.2179855382673457,0,0.7714816290632929,6.367594556647645e-05,0.00018950448210403828,0.2234741940517146,2.2280156115040657e-49,0.004790996457116856,7.961842589540374e-24,1.0835847398355929e-241,1.4684167904280436e-22,2.053806018088717e-13
1.0,3.0,39.0,0.7170268433691257,0,0.4849649520741442,-0.5404054572799724,1.192918648799964,-0.7808307421801832,9,0.04593449901992355,0.010180955726700504,3.495242218422893e-21,0.0007361297822990465,5.337268730233719e-06,8.51655752156526e-07,1.6630445599915382e-06,7.749801954894564e-275,8.835013454575038e-09,0.943140554667021
1.0,1.0,28.0,0.2391717757363975,1,-0.1290804810702017,1.1817817635999648,0.5462975228248502,-0.8313814149794682,1,8.759817493698346e-06,0.954422527781435,8.324521829522092e-59,0.03937684248029563,4.71043070544054e-13,0.0021806949692274773,0.0008847393610302584,1.3180511440315515e-118,0.003126361278014316,7.431203251307367e-08
2.0,4.0,39.0,1.730860528371555,0,1.0084856256473118,-0.5388739715519992,0.1489957285570886,-0.1411383079024823,0,0.808183578139907,0.001554157828578078,0.181094163620573,0.009168062836558716,2.1530595474170346e-26,3.6869478949675835e-08,1.5984068855592632e-23,0.0,3.579011956703656e-20,7.049043391085217e-10
3.0,2.0,40.0,13.44076620022146,1,-1.4609243170691246,1.387786889066003,-0.1669777852656725,-0.2661131205987092,7,4.793089570549132e-35,0.0524525263573471,1.6170346496290846e-207,0.00013390391484074008,3.4822282060485664e-18,3.906894748339412e-21,5.434566551440941e-22,0.9400811343147277,0.007332435413084654,2.1789333776005373e-61
1.0,,28.0,0.6349933792022086,0,-0.9425040776239514,-1.2586295056195609,-0.0506306789962106,-0.2959355958874541,4,3.994131118665603e-19,0.00841566394959163,1.125126619930843e-117,0.004004199166459028,0.6923493013278855,5.242912370485667e-07,3.049231390878745e-05,9.535808522306809e-25,0.29519981895091785,1.826218495907169e-27
1.0,1.0,39.0,0.0003299918912423,0,-1.0551772821376662,-0.1967039349901536,1.4388140787773915,0.4716416823338273,4,7.9069356913731e-16,0.044241168662729966,1.53033924218424e-154,0.02704547696844955,0.8764886728941391,7.082533481113035e-07,1.5141037876836954e-10,4.4936471554082904e-15,0.05222397306991726,4.253302890536941e-44
1.0,1.0,48.0,0.5498847153726232,0,-0.0652320187892544,0.7761482081121641,0.2869371917285325,-0.2631697766215482,1,0.00017778718598514932,0.8483093354036053,7.248584992888304e-47,0.11090363545368712,3.037945254638911e-14,0.039655227112303876,0.0009170698152131889,1.4923585946848512e-109,3.579045107988656e-05,1.154578095192068e-06
