state_fips,state_abbr,finalist_code,finalist_party,first_choice_pct,inc_NAT,inc_CON,inc_OAO,inc_POP,inc_LBR,inc_CUP,inc_LIB,inc_STY,inc_DSA,inc_PRG
39,OH,CON_1,CON,22.77,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,OH,CUP_1,CUP,11.19,0.0,2.94,2.46,1.6,0.0,0.0,0.0,4.39,0.0,0.0
39,OH,LBR_1,LBR,11.52,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,4.5,0.0
39,OH,LIB_1,LIB,8.38,0.0,0.0,0.89,0.0,0.0,3.9,0.0,0.0,1.02,2.62
39,OH,STY_1,STY,11.19,0.0,1.38,0.0,8.91,0.0,0.0,0.0,0.0,0.94,0.0
40,OK,CON_1,CON,22.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,OK,CUP_1,CUP,11.36,0.0,2.94,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,OK,LBR_1,LBR,7.92,0.0,0.0,0.0,0.0,0.0,0.0,11.07,0.0,2.83,0.0
40,OK,POP_1,POP,9.67,16.08,2.38,0.0,0.0,0.0,0.0,0.0,4.13,0.0,0.0
40,OK,STY_1,STY,11.41,0.0,0.56,0.0,0.0,5.65,0.53,0.0,0.0,2.81,0.0
41,OR,CON_1,CON,12.54,6.15,0.0,0.68,0.0,0.0,3.66,0.0,0.0,0.0,0.0
41,OR,LBR_1,LBR,12.46,0.0,0.0,0.0,0.0,0.0,1.41,0.0,4.29,0.0,0.0
41,OR,LIB_1,LIB,13.65,0.0,0.0,1.62,0.0,0.0,0.0,0.0,0.0,3.91,0.0
41,OR,POP_1,POP,8.71,7.68,0.0,0.0,0.0,0.86,0.0,1.65,2.18,5.51,0.0
41,OR,PRG_1,PRG,13.54,0.0,0.0,0.0,1.04,0.0,0.0,1.62,0.0,1.48,0.0
42,PA,CON_1,CON,21.41,0.0,0.0,0.0,0.0,0.0,4.57,0.0,0.0,0.0,0.0
42,PA,LBR_1,LBR,14.42,0.0,0.0,0.0,0.0,0.0,1.53,0.0,0.0,4.42,0.0
42,PA,LIB_1,LIB,12.29,0.0,0.0,1.63,0.0,0.0,0.98,0.0,0.0,0.0,7.57
42,PA,POP_1,POP,7.89,8.15,2.22,0.0,0.0,0.0,1.78,0.0,0.0,0.0,0.0
42,PA,STY_1,STY,8.52,0.0,0.69,2.03,1.43,1.76,0.78,2.68,0.0,0.57,0.0
44,RI,CON_1,CON,16.39,3.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,RI,LBR_1,LBR,16.65,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,RI,LIB_1,LIB,14.78,0.0,0.0,1.53,0.0,0.0,0.0,0.0,0.0,1.27,0.0
44,RI,POP_1,POP,9.12,1.81,1.31,0.0,0.0,0.0,14.42,0.0,4.2,0.0,0.0
44,RI,STY_1,STY,9.31,0.0,0.0,0.81,0.0,0.0,0.0,0.0,0.0,5.28,8.48
45,SC,CON_1,CON,22.51,9.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,SC,CUP_1,CUP,6.93,0.0,1.98,2.45,0.0,0.91,0.0,1.83,0.0,5.4,0.0
45,SC,LBR_1,LBR,13.97,0.0,0.0,0.61,0.0,0.0,0.0,6.04,0.0,0.0,0.0
45,SC,POP_1,POP,9.56,2.24,2.23,0.0,0.0,0.0,2.64,0.0,0.0,5.66,0.0
45,SC,STY_1,STY,13.55,0.0,1.17,0.0,0.0,2.55,0.0,0.0,0.0,0.0,0.0
46,SD,CON_1,CON,18.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,SD,CUP_1,CUP,13.74,0.0,0.0,4.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,SD,LBR_1,LBR,10.68,0.0,0.0,0.68,0.0,0.0,0.0,0.0,5.18,5.99,0.0
46,SD,LIB_1,LIB,6.08,13.48,0.0,1.47,0.0,5.28,0.0,0.0,0.0,1.63,2.41
46,SD,STY_1,STY,14.65,0.0,0.0,0.0,7.59,0.0,1.0,0.0,0.0,0.0,0.0
47,TN,CON_1,CON,29.08,15.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,TN,CON_2,CON,0.0,0.0,12.33,1.87,1.49,0.0,0.0,0.0,1.82,0.0,0.0
47,TN,CUP_1,CUP,8.92,0.0,0.55,4.33,1.01,0.0,0.0,0.86,1.42,0.0,0.0
47,TN,LBR_1,LBR,7.15,0.0,0.0,0.65,0.0,0.0,0.0,3.67,0.0,6.32,0.0
47,TN,STY_1,STY,11.13,0.0,0.0,0.0,6.4,0.85,0.0,0.0,0.0,1.69,0.0
48,TX,CON_1,CON,20.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,TX,CUP_1,CUP,10.55,3.71,1.29,3.92,0.0,0.61,0.0,1.47,0.0,0.0,0.0
48,TX,LBR_1,LBR,13.61,0.0,0.0,1.64,0.0,0.0,0.0,7.78,0.0,6.82,0.0
48,TX,POP_1,POP,7.33,5.64,1.51,0.0,0.0,3.56,2.76,0.0,0.0,0.0,0.0
48,TX,STY_1,STY,17.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,UT,CON_1,CON,15.59,0.0,0.0,1.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,UT,CUP_1,CUP,9.62,2.22,0.0,1.57,0.0,0.0,0.0,4.7,0.0,0.0,0.0
49,UT,LBR_1,LBR,17.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.84,0.0
49,UT,POP_1,POP,11.95,6.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,UT,STY_1,STY,15.32,0.0,0.0,0.0,1.89,0.64,1.65,0.0,0.0,0.81,0.0
50,VT,CON_1,CON,12.33,3.93,0.0,8.54,1.17,0.0,3.48,0.0,0.0,0.0,0.0
50,VT,LBR_1,LBR,11.79,0.0,0.0,0.0,0.0,0.0,3.07,0.0,0.0,5.33,0.0
50,VT,LIB_1,LIB,12.53,0.0,0.0,1.47,0.0,0.0,0.0,0.0,0.0,0.0,8.39
50,VT,PRG_1,PRG,25.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,VT,STY_1,STY,5.77,0.0,2.86,0.0,3.74,2.17,1.01,3.39,0.0,0.0,0.0
51,VA,CON_1,CON,19.51,10.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,VA,CUP_1,CUP,7.33,0.0,1.11,2.33,5.33,0.0,0.0,2.74,0.0,0.0,0.0
