state_fips,state_abbr,finalist_code,finalist_party,first_choice_pct,inc_CON,inc_OAO,inc_POP,inc_LBR,inc_CUP,inc_LIB,inc_STY,inc_NAT,inc_PRG,inc_DSA
16,ID,CON_1,CON,22.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,ID,LBR_1,LBR,9.31,0.89,1.43,0.0,0.0,0.0,0.0,2.1,0.0,0.0,5.96
16,ID,LIB_1,LIB,8.74,0.0,1.19,0.0,0.61,0.0,0.0,0.0,0.0,1.81,2.87
16,ID,NAT_1,NAT,16.35,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,ID,POP_1,POP,14.42,2.71,0.0,0.0,0.0,0.0,0.0,1.23,0.0,0.0,0.0
17,IL,CON_1,CON,20.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,IL,CUP_1,CUP,8.86,0.78,4.69,0.0,0.0,0.0,0.0,0.58,0.93,0.0,0.0
17,IL,LBR_1,LBR,12.18,0.0,0.0,0.0,0.0,0.0,0.0,2.52,0.0,0.0,5.11
17,IL,LIB_1,LIB,13.63,0.0,1.95,0.0,0.64,0.0,0.0,0.0,0.0,9.22,0.0
17,IL,POP_1,POP,7.57,1.68,0.0,0.0,0.84,0.0,0.0,1.43,8.36,0.0,0.0
18,IN,CON_1,CON,20.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,IN,LBR_1,LBR,11.78,0.0,2.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.18
18,IN,LIB_1,LIB,9.24,0.0,1.49,0.0,0.0,0.0,0.0,0.0,0.0,6.09,0.0
18,IN,NAT_1,NAT,15.76,0.0,0.0,0.57,0.0,0.52,0.0,0.0,0.0,0.0,0.0
18,IN,STY_1,STY,7.25,0.0,0.0,6.88,1.2,5.69,0.0,0.0,0.0,0.0,0.58
19,IA,CON_1,CON,20.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,IA,CUP_1,CUP,8.18,1.52,4.22,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,IA,LBR_1,LBR,12.54,0.0,1.17,0.0,0.0,0.0,0.0,2.25,0.0,0.0,8.47
19,IA,LIB_1,LIB,7.59,0.0,1.7,0.0,3.06,0.0,0.0,0.0,0.0,2.93,2.26
19,IA,NAT_1,NAT,15.91,0.65,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,KS,CON_1,CON,25.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,KS,CON_2,CON,0.0,8.34,0.68,3.32,0.0,2.72,0.0,0.0,12.25,0.0,0.0
20,KS,LBR_1,LBR,8.79,0.0,0.0,0.0,0.0,2.01,5.82,0.0,0.0,0.0,5.83
20,KS,LIB_1,LIB,14.34,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,7.15,0.52
20,KS,STY_1,STY,8.01,0.0,0.0,6.37,4.71,0.61,0.0,0.0,0.0,0.0,0.0
21,KY,CON_1,CON,24.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,KY,CUP_1,CUP,8.99,2.41,4.04,0.0,0.63,0.0,6.01,0.0,0.0,0.0,0.0
21,KY,LBR_1,LBR,11.35,0.0,0.69,0.0,0.0,0.0,0.0,5.03,0.0,0.0,4.25
21,KY,NAT_1,NAT,14.68,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,KY,POP_1,POP,9.05,2.38,0.0,0.0,1.27,0.0,0.0,4.66,0.0,0.0,0.0
22,LA,CON_1,CON,22.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,LA,CUP_1,CUP,12.63,0.0,3.01,0.59,0.0,0.0,2.03,0.0,0.0,0.0,0.0
22,LA,LBR_1,LBR,9.19,0.0,1.16,0.0,0.0,0.55,3.9,0.0,0.0,0.0,2.59
22,LA,NAT_1,NAT,17.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,LA,STY_1,STY,9.88,0.0,0.0,3.99,0.0,0.0,0.0,0.0,0.0,7.18,0.0
23,ME,CON_1,CON,14.34,0.0,0.0,0.0,0.0,2.86,0.0,0.0,0.0,0.0,0.0
23,ME,LBR_1,LBR,11.9,0.0,1.88,0.0,0.0,1.48,0.95,2.35,0.0,0.0,0.0
23,ME,LIB_1,LIB,19.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
