state_fips,state_abbr,finalist_code,finalist_party,first_choice_pct,inc_CON,inc_OAO,inc_POP,inc_STY,inc_LBR,inc_CUP,inc_LIB,inc_NAT,inc_PRG,inc_DSA
6,CA,LBR_1,LBR,16.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89
6,CA,LIB_1,LIB,14.43,0.0,2.16,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0
6,CA,POP_1,POP,7.8,2.65,0.0,0.0,0.0,0.0,0.88,0.98,7.33,9.89,0.0
6,CA,STY_1,STY,11.89,0.0,0.0,0.0,0.0,1.87,2.68,0.0,0.0,0.0,0.0
8,CO,CON_1,CON,21.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,CO,LBR_1,LBR,14.51,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,4.2
8,CO,LIB_1,LIB,13.47,0.0,2.63,0.0,0.0,0.51,0.0,0.0,0.0,10.61,0.0
8,CO,POP_1,POP,10.92,3.67,0.0,0.0,0.0,0.0,0.0,0.0,9.97,0.0,0.0
8,CO,STY_1,STY,5.41,0.52,3.99,8.36,0.0,1.86,0.89,0.0,0.0,0.0,0.0
9,CT,CON_1,CON,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,CT,CUP_1,CUP,6.04,0.0,4.65,7.55,0.0,0.0,0.0,0.0,1.6,0.0,0.0
9,CT,LBR_1,LBR,13.57,0.0,0.0,0.0,3.84,0.0,0.0,0.0,0.0,0.81,2.51
9,CT,LIB_1,LIB,16.62,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,10.6,0.0
9,CT,POP_1,POP,9.13,0.91,1.9,0.0,2.39,1.89,0.0,0.0,8.3,0.0,0.0
10,DE,CON_1,CON,24.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,DE,CON_2,CON,0.0,7.58,5.33,1.33,0.0,0.0,1.06,0.0,6.21,0.0,0.0
10,DE,LBR_1,LBR,20.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,DE,LIB_1,LIB,10.25,0.0,9.5,0.0,0.0,0.54,1.63,0.0,0.0,4.86,0.0
10,DE,STY_1,STY,5.66,0.0,0.0,2.66,0.0,3.76,4.87,0.0,0.0,0.0,0.0
11,DC,LBR_1,LBR,18.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,DC,LIB_1,LIB,29.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,DC,LIB_2,LIB,0.0,0.0,1.34,0.0,0.0,0.0,1.36,11.63,0.0,0.0,3.19
11,DC,POP_1,POP,10.51,12.89,0.0,0.0,3.1,0.0,1.65,0.0,0.0,0.0,0.0
11,DC,PRG_1,PRG,13.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.97
12,FL,CON_1,CON,22.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,FL,CUP_1,CUP,10.44,2.1,4.06,0.0,0.0,0.0,0.0,3.17,0.0,0.0,0.0
12,FL,LBR_1,LBR,13.43,0.0,1.08,0.0,0.0,0.0,0.0,9.01,0.0,0.0,5.05
12,FL,POP_1,POP,8.62,1.47,0.0,0.0,0.0,0.0,0.0,0.0,9.75,0.0,0.0
12,FL,STY_1,STY,12.03,0.67,0.0,0.0,0.0,2.58,0.0,0.0,0.0,0.0,1.51
13,GA,CON_1,CON,22.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.99,0.0,0.0
13,GA,CUP_1,CUP,9.42,2.45,2.41,0.72,5.17,0.0,0.0,0.0,0.0,0.0,0.0
13,GA,LBR_1,LBR,15.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45
13,GA,LIB_1,LIB,12.21,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,3.41,0.0
13,GA,STY_1,STY,10.38,2.29,0.0,8.48,0.0,1.36,0.0,0.0,0.0,0.0,0.0
15,HI,CON_1,CON,21.26,0.0,5.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,HI,LBR_1,LBR,22.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,HI,LBR_2,LBR,0.0,0.0,0.0,1.03,3.95,5.44,0.51,1.17,0.0,3.24,1.9
15,HI,LIB_1,LIB,18.85,0.0,6.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,HI,POP_1,POP,9.12,5.4,0.0,0.0,1.84,0.0,0.0,0.0,2.42,0.0,0.0
16,ID,CON_1,CON,22.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,ID,LBR_1,LBR,9.55,0.87,1.4,0.0,2.56,0.0,0.0,0.0,0.0,0.0,6.01
16,ID,LIB_1,LIB,8.23,0.0,1.17,0.0,0.0,2.43,15.41,0.0,0.0,1.68,2.66
16,ID,NAT_1,NAT,15.45,1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,ID,POP_1,POP,14.96,2.59,0.0,0.0,1.51,0.0,0.0,0.0,0.0,0.0,0.0
17,IL,CON_1,CON,20.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,IL,CUP_1,CUP,9.41,0.74,5.11,5.33,0.71,0.63,0.0,0.0,0.89,0.0,0.0
17,IL,LBR_1,LBR,12.54,0.0,0.0,0.0,3.04,0.0,0.0,0.0,0.0,1.48,5.17
17,IL,LIB_1,LIB,12.9,0.0,2.31,0.0,0.0,1.2,6.06,0.0,0.0,8.35,0.0
17,IL,POP_1,POP,7.88,1.59,1.23,0.0,1.65,2.32,0.0,0.0,7.93,0.0,0.0
18,IN,CON_1,CON,20.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,IN,CUP_1,CUP,10.01,0.7,3.55,1.69,1.06,0.0,0.0,0.0,0.0,0.0,0.0
18,IN,LBR_1,LBR,12.03,0.0,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.18
18,IN,LIB_1,LIB,8.67,0.0,1.46,0.0,0.0,0.0,0.0,0.0,16.17,5.61,0.0
18,IN,STY_1,STY,8.8,0.0,0.0,7.0,0.0,1.53,0.0,0.0,0.0,0.0,0.58
