respondent_id,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9
412,JR,MW,CO,ZN,LK,MRJ,RH,DH,BE
413,DH,MRJ,RH,BE,MW,LK,CO,JR,ZN
414,RH,BE,DH,LK,MRJ,MW,ZN,JR,CO
415,RH,DH,MRJ,BE,LK,MW,CO,ZN,JR
416,BE,DH,RH,JR,ZN,MW,MRJ,LK,CO
417,ZN,JR,MW,MRJ,CO,LK,BE,DH,RH
418,JR,MW,ZN,CO,MRJ,LK,RH,DH,BE
419,LK,MW,RH,CO,MRJ,DH,ZN,JR,BE
420,ZN,JR,MRJ,MW,CO,DH,LK,RH,BE
421,MRJ,DH,MW,RH,BE,CO,ZN,JR,LK
422,MRJ,MW,ZN,DH,LK,RH,CO,JR,BE
423,LK,CO,MW,RH,MRJ,JR,BE,ZN,DH
424,MRJ,MW,ZN,DH,RH,CO,LK,JR,BE
425,LK,RH,MW,DH,BE,MRJ,CO,JR,ZN
426,CO,JR,ZN,MW,MRJ,LK,RH,BE,DH
427,CO,JR,MW,ZN,MRJ,LK,RH,DH,BE
428,RH,BE,LK,DH,MRJ,MW,CO,ZN,JR
