state_fips,state_abbr,senator_code,senator_party,senator_axis,senator_dir,total_weighted_respondents,n_finalists,fc_pct_CON,fc_pct_CON_hi_id,fc_pct_CON_hi_pc,fc_pct_CON_lo_id,fc_pct_CON_lo_pc,fc_pct_CUP,fc_pct_CUP_hi_pc,fc_pct_CUP_lo_pc,fc_pct_DSA,fc_pct_DSA_hi_id,fc_pct_DSA_lo_id,fc_pct_LBR,fc_pct_LBR_hi_id,fc_pct_LBR_hi_pc,fc_pct_LBR_hi_so,fc_pct_LBR_lo_id,fc_pct_LBR_lo_pc,fc_pct_LBR_lo_so,fc_pct_LIB,fc_pct_LIB_hi_pc,fc_pct_LIB_lo_pc,fc_pct_NAT,fc_pct_NAT_hi_id,fc_pct_NAT_lo_id,fc_pct_OAO,fc_pct_POP,fc_pct_POP_hi_id,fc_pct_POP_hi_pc,fc_pct_POP_lo_id,fc_pct_POP_lo_pc,fc_pct_PRG,fc_pct_STY,fc_pct_STY_hi_id,fc_pct_STY_hi_pc,fc_pct_STY_hi_so,fc_pct_STY_lo_id,fc_pct_STY_lo_pc,fc_pct_STY_lo_so
42,PA,LBR_hi_so,LBR,so,hi,1510.3,5,0.156,6.349,6.648,4.595,7.874,0.307,3.37,3.204,0.179,1.712,4.119,0.023,2.074,0.534,4.056,4.329,1.764,3.393,3.613,3.835,2.398,0.205,5.087,3.422,4.307,0.026,3.239,0.849,1.95,1.712,8.754,0.118,1.707,0.906,1.028,0.864,0.963,0.33
44,RI,LBR_hi_so,LBR,so,hi,112.18,5,0.286,2.767,3.036,3.467,10.862,0.0,0.726,2.914,0.0,3.65,5.38,0.0,1.678,1.2,5.365,5.175,2.191,5.681,3.743,2.681,7.55,0.0,2.507,3.564,3.329,0.0,0.339,0.242,2.43,4.382,8.133,0.0,0.989,1.769,3.398,0.568,0.0,0.0
45,SC,LBR_lo_id,LBR,id,lo,485.6,5,0.368,5.84,8.552,6.734,5.698,0.431,3.954,2.938,0.004,4.176,3.713,0.0,2.775,0.586,4.165,2.974,2.966,3.057,3.31,0.745,3.339,0.707,5.184,5.754,2.703,0.0,1.765,0.845,4.751,0.895,2.008,0.0,2.301,1.317,1.414,1.609,1.908,0.514
46,SD,CUP,CUP,base,base,93.72,5,0.0,2.179,9.855,5.879,5.684,4.115,2.489,2.797,0.0,2.352,3.314,0.0,0.411,0.526,0.767,2.497,3.534,3.598,0.884,4.154,2.116,0.0,2.39,9.707,6.639,0.0,1.363,0.0,2.924,0.487,3.577,1.296,0.374,8.88,1.287,3.07,0.856,0.0
47,TN,CON_hi_pc,CON,pc,hi,771.91,5,0.231,3.606,10.621,10.165,8.883,1.274,3.388,2.728,0.026,1.961,4.165,0.0,2.944,0.54,1.463,0.846,1.441,0.793,1.72,1.029,1.511,1.314,0.967,13.542,4.946,0.001,1.795,0.788,2.145,3.407,2.704,0.056,1.453,1.045,1.579,3.099,0.198,1.626
48,TX,STY_lo_id,STY,id,lo,2314.43,5,0.354,4.622,6.726,7.365,6.486,0.61,4.968,4.396,0.136,3.802,3.561,0.0,3.965,1.123,2.562,2.067,1.385,3.253,1.921,2.791,2.005,0.717,2.096,6.185,4.294,0.143,0.917,1.596,2.023,1.569,2.383,0.471,1.69,1.86,2.027,3.925,2.059,1.946
49,UT,LBR_lo_so,LBR,so,lo,300.78,5,0.3,3.962,3.068,5.489,3.703,1.21,4.126,3.585,0.0,4.376,4.772,0.182,1.094,0.977,0.912,5.197,2.911,6.299,2.27,1.488,1.891,0.83,3.215,6.858,2.414,1.216,1.586,2.054,4.95,1.707,3.686,0.0,0.99,3.746,0.175,3.274,3.378,2.109
50,VT,LBR_lo_so,LBR,so,lo,78.01,5,0.0,2.015,0.801,5.813,4.992,0.0,1.628,4.876,0.0,1.371,5.028,0.0,0.373,0.424,1.343,2.519,4.175,4.288,3.235,4.062,2.54,0.0,0.0,3.703,8.679,0.0,0.616,2.017,0.85,1.582,28.961,0.0,0.436,0.0,0.579,3.095,0.0,0.0
51,VA,LBR_lo_so,LBR,so,lo,903.51,5,1.128,3.83,6.963,4.851,5.954,0.414,3.508,3.588,0.054,1.61,5.373,0.0,2.834,0.765,4.153,3.522,1.241,4.769,2.762,2.762,3.03,0.536,4.131,5.985,2.847,0.021,1.507,1.345,2.133,1.093,8.306,0.17,1.157,1.359,1.209,3.498,1.142,0.449
53,WA,LBR_lo_so,LBR,so,lo,846.36,5,0.187,3.977,4.554,2.554,5.592,1.645,1.786,3.595,0.211,1.611,7.233,0.336,2.013,1.406,4.596,1.706,2.375,4.127,4.645,2.149,5.015,0.0,8.538,1.443,4.159,0.0,3.565,0.987,0.747,1.411,12.727,0.024,0.988,0.166,0.709,1.901,0.095,1.23
54,WV,STY_hi_so,STY,so,hi,233.08,5,0.0,5.162,10.983,6.395,9.454,0.015,2.85,3.222,0.0,3.845,0.697,0.0,3.764,0.288,6.429,6.315,0.91,0.409,3.635,0.429,1.797,0.849,1.378,4.704,2.949,0.037,0.499,1.276,8.885,0.831,2.135,0.0,0.864,0.338,4.817,2.447,1.394,0.0
55,WI,LBR_hi_so,LBR,so,hi,662.53,5,0.128,9.078,6.192,4.516,7.122,0.469,1.33,3.978,0.223,1.157,4.542,0.001,2.709,1.971,2.409,2.68,1.296,3.24,2.753,2.533,2.881,0.089,5.716,4.489,5.046,0.046,2.229,1.348,2.237,1.648,8.576,0.032,1.218,2.075,2.089,1.476,0.176,0.302
56,WY,POP_lo_id,POP,id,lo,66.54,5,1.25,3.449,8.235,12.593,5.271,4.754,8.293,0.0,0.0,0.0,0.827,0.0,4.078,1.164,0.0,0.643,0.81,3.805,3.113,6.886,1.215,0.0,0.0,7.954,5.616,0.0,0.0,0.0,7.63,0.109,1.552,2.513,0.921,6.052,0.0,1.267,0.0,0.0
