code,year,in_letter,out_warmth,n_sup,party_lr,vote_share,extremeness,bloc,fptp,tier,micro
DEU,2002,4,4.468261362121808,106.0,5.0450431085129885,7.399999999999999,0.04504310851298854,center,0.0,True,0
DEU,2002,5,3.9640978236431472,179.0,2.128816992600771,4.0,2.871183007399229,left,0.0,True,0
DEU,2005,0,3.501705686139669,624.0,3.691980999528914,34.19999999999999,1.308019000471086,left,0.0,True,0
DEU,2005,1,3.7110592931949724,475.0,6.122066015942058,27.800000000000008,1.1220660159420577,right,0.0,True,0
DEU,2005,2,4.163614054428826,102.0,5.23686794253966,9.8,0.23686794253965981,center,0.0,True,0
DEU,2005,3,3.3271263221761007,203.0,1.199239492745715,8.700000000000001,3.800760507254285,left,0.0,True,0
DEU,2005,4,4.127882415648605,145.0,3.3503316174653603,8.099999999999996,1.6496683825346397,left,0.0,True,0
DEU,2005,5,4.632408589408875,55.0,6.550125276021966,7.400000000000002,1.5501252760219657,right,0.0,True,0
DEU,2009,0,4.5177904583387125,445.0,6.427421240227554,27.27,1.4274212402275541,right,0.0,True,0
DEU,2009,1,4.155219028941621,326.0,3.646715088993212,23.029999999999998,1.3532849110067882,left,0.0,True,0
DEU,2009,2,4.2664555014000225,112.0,5.843514877826862,14.560000000000002,0.8435148778268617,center,0.0,True,0
DEU,2009,3,3.558540934276772,189.0,1.1519584363856805,11.889999999999997,3.8480415636143195,left,0.0,True,0
DEU,2009,4,4.1586827988121335,120.0,3.2768689133338014,10.710000000000004,1.7231310866661986,left,0.0,True,0
DEU,2009,5,4.3991860862701575,62.0,6.9750500281201,6.530000000000001,1.9750500281201004,right,0.0,True,0
DEU,2013,0,4.498583121718096,299.0,6.154317376079215,34.13,1.1543173760792147,right,0.0,True,0
DEU,2013,1,4.2807899504365095,392.0,3.684293225436426,25.73,1.3157067745635742,left,0.0,True,0
DEU,2013,2,3.8409926339878533,147.0,1.1558549548149684,8.590000000000003,3.844145045185032,left,0.0,True,0
DEU,2013,3,4.828968224047399,105.0,3.319749926116405,8.450000000000001,1.6802500738835948,left,0.0,True,0
DEU,2013,4,5.372217065545404,33.0,6.881042647822964,7.420000000000001,1.881042647822964,right,0.0,True,0
DEU,2017,1,4.694370422453086,327.0,3.471074062403725,20.51,1.528925937596275,left,0.0,True,0
