district_id,state_fips,state_abbr,density_tier,seat_count,quota,total_weight,n_ballots,elected_party_0,elected_party_1,elected_party_2,elected_party_3,elected_party_4,elected_party_5,elected_party_6,round_elim_c0,round_elim_c1,round_elim_c2,round_elim_c3,round_elim_c4,round_elim_c5,round_elim_c6,round_elim_c7,round_elim_c8,round_elim_c9
36-08,36,NY,SUBURBAN,5,58.0,344.0738,410,0,1,4.0,2.0,5.0,,,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,,,1.0,3.0
36-09,36,NY,RURAL,5,47.0,277.2712,368,0,4,5.0,2.0,1.0,,,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,,,1.0,2.0
37-01,37,NC,URBAN,7,8.0,60.9361,108,0,1,2.0,4.0,6.0,8.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,,-1.0,1.0
37-02,37,NC,URBAN,5,29.0,170.0204,127,2,0,5.0,1.0,4.0,,,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,4.0,,3.0,1.0
37-03,37,NC,SUBURBAN,5,74.0,439.1548,411,0,2,1.0,5.0,4.0,,,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,2.0,,,1.0
37-04,37,NC,SUBURBAN,5,55.0,329.0453,350,0,6,1.0,2.0,5.0,,,-1.0,-1.0,-1.0,,2.0,-1.0,-1.0,,1.0,3.0
37-05,37,NC,RURAL,5,77.0,456.1979,448,0,5,1.0,2.0,6.0,,,-1.0,-1.0,-1.0,,3.0,-1.0,-1.0,,2.0,1.0
38-01,38,ND,SUBURBAN,2,38.0,112.019,90,5,1,,,,,,6.0,-1.0,4.0,2.0,5.0,-1.0,,,1.0,3.0
39-01,39,OH,URBAN,7,24.0,186.4546,237,2,6,5.0,0.0,1.0,4.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,2.0,1.0
39-02,39,OH,URBAN,7,28.0,218.6772,251,0,6,5.0,2.0,1.0,4.0,8.0,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,,-1.0,1.0
39-03,39,OH,SUBURBAN,7,56.0,441.8435,525,2,1,6.0,0.0,5.0,4.0,8.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,,-1.0,1.0
39-04,39,OH,SUBURBAN,5,81.0,485.5397,568,0,5,2.0,1.0,6.0,,,-1.0,-1.0,-1.0,2.0,,-1.0,-1.0,,3.0,1.0
39-05,39,OH,RURAL,5,66.0,394.6304,397,0,3,6.0,5.0,1.0,,,-1.0,-1.0,,-1.0,3.0,-1.0,-1.0,,1.0,2.0
40-01,40,OK,URBAN,5,49.0,288.9083,216,0,2,5.0,1.0,6.0,,,-1.0,-1.0,-1.0,,3.0,-1.0,-1.0,,2.0,1.0
40-02,40,OK,SUBURBAN,5,53.0,317.295,321,0,6,2.0,1.0,3.0,,,-1.0,-1.0,-1.0,-1.0,,3.0,-1.0,,2.0,1.0
41-01,41,OR,URBAN,5,30.0,176.902,179,0,1,2.0,4.0,3.0,,,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,1.0,,3.0,4.0
41-02,41,OR,URBAN,3,49.0,194.522,175,1,5,4.0,,,,,5.0,-1.0,4.0,3.0,-1.0,-1.0,1.0,,2.0,
