w,baseline_party,k5_noresid,k4_resid,k4_noresid,conf_resid,conf_noresid
0.0017621243962229,DSA,4,2,0,0.9061212445773799,0.49977996827820037
1.777486414221999,LIB,1,5,4,0.33831409834928855,0.5779525356017733
0.7699205446420835,CUP,9,9,6,0.7227996156498027,0.8065682762524173
0.227652984978734,CON,2,9,9,0.949515576311893,0.9413651465020295
0.6085066529192261,CON,2,3,9,0.7063160399198852,0.5749094360232823
0.5307873883375454,NAT,8,8,8,0.86678546857925,0.8627104069228125
2.023789721654716,NAT,8,8,8,0.9406228520093055,0.9524166956389936
12.371750415476107,POP,3,0,1,0.9341937354148908,0.9921583388184085
0.0021995554432652,LIB,5,6,7,0.5955677033284187,0.7275716253210666
0.1806917907909415,LIB,4,0,1,0.7332792423263215,0.6771940523149079
0.1375497554289604,POP,3,7,5,0.5331346161162898,0.5754934295546636
0.1144926589179365,DSA,4,4,0,0.9620081127310578,0.9843651108012793
0.0001731897419632,STY,3,3,6,0.9131571014214375,0.7757053515920709
0.2766333867796321,CON,6,7,5,0.4423945398976105,0.590079959638889
0.1695722366968651,CON,6,7,5,0.8780170503363065,0.6270135887736511
0.0338905072223984,CON,2,7,5,0.7671616315152002,0.5971289798171859
0.2974464956289217,CON,2,7,5,0.6287020253536454,0.5503320603654878
2.05568708332144,CUP,9,0,1,0.6214611507846255,0.8116248067461793
0.8267583414642716,C7,9,1,7,0.7669477736325038,0.6635716463840832
0.0069512367794329,CON,2,3,9,0.6979511385821168,0.7011119308183467
0.8957691522111462,PRG,7,4,0,0.5260786234655297,0.713577249213628
0.3996408653851701,DSA,5,2,2,0.6955440658115265,0.8110324811780236
0.4197156573063325,STY,0,3,3,0.9993558907509368,0.8993665076982313
0.5297541658164653,C7,5,1,2,0.7035312082992675,0.3232549849727466
0.0001000611367365,STY,0,3,3,0.9876171964645565,0.7626233828537385
0.2447241052533195,SD,7,4,0,0.9074268182569131,0.9384285577893884
0.384188935420048,CUP,9,7,5,0.7904549960501391,0.854401698585051
0.1310410577578454,NAT,8,8,8,0.8328222671251755,0.8034221837158263
0.2260063084239333,CON,2,9,9,0.8436025157953757,0.8309655549147551
1.29139566958366,CON,2,8,8,0.6996256528568545,0.7663733190397213
