state_fips,state_abbr,finalist_code,finalist_party,first_choice_pct,inc_OAO,inc_LIB,inc_POP,inc_LBR,inc_NAT,inc_PRG,inc_DSA,inc_CUP,inc_STY,inc_CON
11,DC,POP_1,POP,9.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21,2.12
11,DC,PRG_1,PRG,14.18,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0
12,FL,CON_1,CON,23.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,FL,CUP_1,CUP,9.91,3.84,0.0,2.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,FL,LBR_1,LBR,13.29,0.55,0.0,0.0,0.0,0.0,0.0,4.93,0.0,0.0,0.0
12,FL,LIB_1,LIB,8.8,1.25,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0
12,FL,STY_1,STY,9.45,0.0,0.0,4.97,0.0,0.0,0.0,1.53,0.0,0.0,0.0
13,GA,CON_1,CON,23.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,GA,CUP_1,CUP,8.87,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,GA,LBR_1,LBR,15.61,0.0,0.0,0.0,0.0,0.0,0.0,2.46,0.0,0.0,0.0
13,GA,LIB_1,LIB,13.36,0.0,0.0,0.0,0.0,0.0,3.59,0.0,0.0,0.0,0.0
13,GA,STY_1,STY,8.08,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,HI,CON_1,CON,21.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,HI,LBR_1,LBR,21.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,HI,LIB_1,LIB,20.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,HI,OAO_1,OAO,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,HI,POP_1,POP,8.65,0.0,0.0,0.0,0.0,2.59,0.0,0.0,0.0,1.26,0.0
16,ID,CON_1,CON,22.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,ID,LBR_1,LBR,9.24,1.43,0.0,0.0,0.0,0.0,0.0,5.62,0.0,1.97,0.0
16,ID,LIB_1,LIB,8.88,1.2,0.0,0.0,0.0,0.0,1.85,0.0,0.0,0.0,0.0
16,ID,NAT_1,NAT,16.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,ID,POP_1,POP,14.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.23,1.16,0.0
17,IL,CON_1,CON,20.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,IL,CUP_1,CUP,8.7,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0
17,IL,LBR_1,LBR,12.08,0.0,0.0,0.0,0.0,0.0,0.0,4.51,0.0,2.06,0.0
