candidate_code,candidate_name,variable,label,scale,domain,overall_mean,candidate_mean,delta,delta_pct_range
CO,LIB,CC24_440b,Racial problems today are rare and isolated,"1=Disagree, 2=Agree (HIGH=racial minimization)",Race/Gender,3.4832,4.3917,0.9085,32.52
CO,LIB,CC24_440c,Women seek to gain power over men,"1=Disagree, 2=Agree (HIGH=traditional gender)",Race/Gender,3.5378,4.4205,0.8827,39.67
CO,LIB,CC24_421_1,Disagree: U.S. elections are fair [distrust],"1=Agree (trust), 2=Disagree (distrust)",Institutional Trust,2.3653,1.4053,-0.96,-52.2
CO,LIB,CC24_421_2,Disagree: 2024 state/local election was fair [distrust],"1=Agree (trust), 2=Disagree (distrust)",Institutional Trust,1.9098,1.0048,-0.905,-49.85
CO,LIB,CC24_423,Federal government trust (high=distrust),"1=Trust, 2=Neutral, 3=Distrust",Institutional Trust,2.41,2.2553,-0.1547,-30.69
CO,LIB,CC24_424,State government trust (high=distrust),"1=Trust, 2=Neutral, 3=Distrust",Institutional Trust,2.1875,2.0066,-0.1809,-40.67
CO,LIB,ideo5,Ideology self-placement,1=Very Liberal … 5=Very Conservative,Demographics,3.0532,2.1897,-0.8635,-32.73
CO,LIB,pew_religimp,Importance of religion (flipped: HIGH=more important),1=Not at all important … 4=Very important; HIGH=more religious,Religion,2.7105,2.2193,-0.4912,-33.62
DH,REF,pew_churatd,Church attendance frequency,1=Never … 6=More than once/week,Religion,4.3467,4.1999,-0.1468,-10.14
DH,REF,CC24_302,Household income change past year,1–5 scale (see CCES codebook),Economic Context,3.1199,3.4277,0.3078,35.7
DH,REF,CC24_303,Perceived price change past year (high=inflation),1–5 scale (higher=more inflation perceived),Economic Context,1.6116,1.3853,-0.2263,-25.05
DH,REF,CC24_341a,Support extending 2017 tax cuts,"1=Oppose, 2=Support (HIGH=con)",Economic,1.3709,1.2429,-0.128,-15.6
DH,REF,CC24_341c,Oppose raising $400k+ income tax rates,"1=Lib (support raise), 2=Con (oppose raise); HIGH=con",Economic,1.3465,1.62,0.2735,29.58
DH,REF,CC24_341d,Oppose $150B infrastructure spending,"1=Lib (support spending), 2=Con (oppose spending); HIGH=con",Economic,1.1955,1.3875,0.192,42.98
DH,REF,CC24_323a,Oppose legal status for working immigrants,"1=Lib (support legal status), 2=Con (oppose); HIGH=con",Immigration,1.4077,1.8766,0.4689,46.99
DH,REF,CC24_323b,Increase border patrols,"1=Oppose, 2=Support (HIGH=con)",Immigration,1.2043,1.109,-0.0953,-11.67
DH,REF,CC24_323d,Oppose Dreamers pathway to citizenship,"1=Lib (support pathway), 2=Con (oppose); HIGH=con",Immigration,1.296,1.7233,0.4273,42.85
DH,REF,CC24_321b,Support easier concealed carry permits,"1=Oppose, 2=Support (HIGH=con)",Guns/Policing,1.6107,1.3212,-0.2895,-31.93
DH,REF,CC24_321d,Increase police funding 10%,"1=Oppose, 2=Support (HIGH=con)",Guns/Policing,1.4328,1.5583,0.1255,12.58
DH,REF,CC24_321e,Oppose 10% police budget cut,"1=Lib (support cut), 2=Con (oppose cut); HIGH=con",Guns/Policing,1.732,1.8046,0.0726,8.34
DH,REF,CC24_325,Abortion week limit (40−raw; high=more restrictive),0–39 (0=most permissive),Abortion,23.9201,30.5389,6.6188,29.17
DH,REF,CC24_324b,Permit abortion only rape/incest/life danger,"1=Oppose, 2=Support (HIGH=restrictive)",Abortion,1.486,1.3961,-0.0899,-13.52
DH,REF,CC24_340b,Oppose ban on abortion service restrictions,"1=Lib (support ban), 2=Con (oppose ban); HIGH=con",Abortion,1.3698,1.565,0.1952,30.42
DH,REF,CC24_340c,Oppose same-sex marriage recognition,"1=Lib (support SSM), 2=Con (oppose SSM); HIGH=con",Civil Liberties,1.3393,1.566,0.2267,30.9
DH,REF,CC24_340e,Renew post-9/11 surveillance programs,"1=Oppose, 2=Support (HIGH=con)",Civil Liberties,1.6598,1.7863,0.1265,18.64
DH,REF,CC24_340f,Deny asylum at the border,"1=Oppose, 2=Support (HIGH=con)",Immigration,1.3683,1.1291,-0.2392,-23.93
DH,REF,CC24_440b,Racial problems today are rare and isolated,"1=Disagree, 2=Agree (HIGH=racial minimization)",Race/Gender,3.4832,2.7983,-0.6849,-24.52
DH,REF,CC24_440c,Women seek to gain power over men,"1=Disagree, 2=Agree (HIGH=traditional gender)",Race/Gender,3.5378,2.8228,-0.715,-32.13
DH,REF,CC24_421_1,Disagree: U.S. elections are fair [distrust],"1=Agree (trust), 2=Disagree (distrust)",Institutional Trust,2.3653,3.0863,0.721,39.2
DH,REF,CC24_421_2,Disagree: 2024 state/local election was fair [distrust],"1=Agree (trust), 2=Disagree (distrust)",Institutional Trust,1.9098,2.8203,0.9105,50.15
DH,REF,CC24_423,Federal government trust (high=distrust),"1=Trust, 2=Neutral, 3=Distrust",Institutional Trust,2.41,2.4864,0.0764,15.16
DH,REF,CC24_424,State government trust (high=distrust),"1=Trust, 2=Neutral, 3=Distrust",Institutional Trust,2.1875,2.3448,0.1573,35.36
DH,REF,ideo5,Ideology self-placement,1=Very Liberal … 5=Very Conservative,Demographics,3.0532,3.7281,0.6749,25.58
DH,REF,pew_religimp,Importance of religion (flipped: HIGH=more important),1=Not at all important … 4=Very important; HIGH=more religious,Religion,2.7105,2.9687,0.2582,17.67
LK,CTR,pew_churatd,Church attendance frequency,1=Never … 6=More than once/week,Religion,4.3467,3.8079,-0.5388,-37.23
LK,CTR,CC24_302,Household income change past year,1–5 scale (see CCES codebook),Economic Context,3.1199,3.0302,-0.0897,-10.4
