state_fips,state_abbr,finalist_code,finalist_party,first_choice_pct,inc_CON,inc_OAO,inc_CUP,inc_LIB,inc_POP,inc_DSA,inc_LBR,inc_PRG,inc_NAT
22,LA,POP_1,POP,15.59,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,ME,CON_1,CON,14.41,0.0,0.0,3.07,0.0,0.0,0.0,0.0,0.0,5.1
23,ME,LBR_1,LBR,15.43,0.0,0.0,1.15,0.0,0.0,0.0,0.0,0.0,0.0
23,ME,LIB_1,LIB,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,ME,POP_1,POP,16.45,0.0,0.0,1.31,0.0,0.0,0.0,0.0,0.0,2.7
23,ME,PRG_1,PRG,9.56,0.0,4.37,0.0,0.0,0.0,7.2,0.0,0.0,0.0
24,MD,CON_1,CON,14.17,0.0,0.0,2.57,0.0,0.0,0.0,0.0,0.0,5.03
24,MD,LBR_1,LBR,21.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0
24,MD,LBR_2,LBR,0.0,0.0,7.53,1.76,0.0,4.46,3.68,4.9,0.0,0.0
24,MD,LIB_1,LIB,10.89,0.0,2.68,0.77,0.0,0.0,0.0,5.79,11.36,0.0
24,MD,POP_1,POP,14.0,4.04,0.0,1.33,0.0,0.0,0.0,0.0,0.0,3.01
25,MA,CON_1,CON,18.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,MA,DSA_1,DSA,7.84,0.0,0.0,0.0,1.25,0.0,0.0,0.66,4.38,9.59
25,MA,LBR_1,LBR,20.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,MA,LIB_1,LIB,14.71,0.0,5.16,0.8,0.0,0.0,0.0,1.25,6.75,0.0
25,MA,POP_1,POP,8.22,1.08,3.25,2.06,2.52,0.0,0.0,0.88,0.0,0.0
26,MI,CON_1,CON,22.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.69
26,MI,CUP_1,CUP,6.74,1.85,2.02,0.0,5.69,0.0,0.0,0.59,0.0,0.0
