variable,domain,type,stat_label,question,overall,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
CC24_421_2,Elections & Trust,likert5_dist,% Agree,2024 state/local election was fair,29.21,44.67,47.65,27.22,33.17,0.48,29.78,3.12,24.37,45.9,1.09
CC24_421_2,Elections & Trust,likert5_dist,% Neither,2024 state/local election was fair,17.39,18.03,19.45,38.72,18.59,0.0,32.34,0.0,0.0,27.73,0.0
CC24_421_2,Elections & Trust,likert5_dist,% Disagree,2024 state/local election was fair,4.8,0.9,0.1,12.03,12.05,0.0,15.05,0.0,0.0,9.9,0.0
CC24_421_2,Elections & Trust,likert5_dist,% Strongly Disagree,2024 state/local election was fair,3.15,0.02,0.0,10.21,6.62,0.0,10.6,0.0,0.0,4.61,0.0
CC24_423,Elections & Trust,trust,Weighted mean,Trust in federal government (1=Great deal … 4=None at all),2.7066,2.7572,2.5967,2.7274,3.1769,2.4015,3.0608,2.1954,2.3972,3.0138,2.6714
CC24_423,Elections & Trust,trust_dist,% Great deal,Trust in federal government (1=Great deal … 4=None at all),6.11,3.15,6.19,5.5,0.58,10.8,3.06,21.09,8.36,1.03,4.29
CC24_423,Elections & Trust,trust_dist,% Fair amount,Trust in federal government (1=Great deal … 4=None at all),31.94,30.1,37.91,33.19,11.9,45.55,16.52,44.12,48.31,18.12,35.92
CC24_423,Elections & Trust,trust_dist,% Not very much,Trust in federal government (1=Great deal … 4=None at all),47.11,54.62,45.92,44.39,56.76,36.34,51.7,28.95,38.56,59.29,48.16
CC24_423,Elections & Trust,trust_dist,% None at all,Trust in federal government (1=Great deal … 4=None at all),14.83,12.13,9.97,16.92,30.76,7.31,28.72,5.84,4.76,21.56,11.63
CC24_424,Elections & Trust,trust,Weighted mean,Trust in state government (1=Great deal … 4=None at all),2.4493,2.4074,2.3903,2.6656,2.7697,2.1221,2.8783,2.0054,2.122,2.8161,2.2008
CC24_424,Elections & Trust,trust_dist,% Great deal,Trust in state government (1=Great deal … 4=None at all),12.9,12.6,11.54,7.0,7.8,21.39,4.1,28.99,18.1,4.76,17.82
CC24_424,Elections & Trust,trust_dist,% Fair amount,Trust in state government (1=Great deal … 4=None at all),42.36,44.0,46.49,37.28,33.69,50.79,30.64,45.67,54.52,31.34,50.97
CC24_424,Elections & Trust,trust_dist,% Not very much,Trust in state government (1=Great deal … 4=None at all),31.65,33.45,33.37,37.87,32.25,22.05,38.59,21.17,24.46,41.42,24.53
CC24_424,Elections & Trust,trust_dist,% None at all,Trust in state government (1=Great deal … 4=None at all),13.09,9.94,8.6,17.85,26.26,5.78,26.67,4.18,2.92,22.47,6.68
CC24_312a,Approval,approval4,Weighted mean,Job approval — President Biden,2.8887,3.674,2.1854,2.7118,3.9723,1.7032,3.7169,3.0209,2.4678,2.3321,1.8576
CC24_312a,Approval,approval4_dist,% Strongly approve,Job approval — President Biden,16.69,3.0,26.59,17.08,0.08,45.84,2.43,14.15,25.31,17.8,35.4
CC24_312a,Approval,approval4_dist,% Somewhat approve,Job approval — President Biden,24.53,7.53,42.12,28.34,0.19,42.1,6.23,19.64,33.22,47.5,48.85
CC24_312a,Approval,approval4_dist,% Somewhat disapprove,Job approval — President Biden,11.99,8.55,17.44,20.89,2.14,7.96,8.55,16.19,10.85,18.4,10.32
CC24_312a,Approval,approval4_dist,% Strongly disapprove,Job approval — President Biden,46.78,80.92,13.85,33.68,97.59,4.1,82.78,50.02,30.62,16.31,5.43
CC24_312b,Approval,approval4,Weighted mean,Job approval — U.S. Congress,3.076,3.0242,3.061,2.9039,3.2271,3.1679,3.2644,2.786,2.8941,3.2994,3.2843
CC24_312b,Approval,approval4_dist,% Strongly approve,Job approval — U.S. Congress,2.54,1.85,2.24,4.89,0.52,1.95,1.66,7.35,4.28,0.4,0.38
CC24_312b,Approval,approval4_dist,% Somewhat approve,Job approval — U.S. Congress,20.68,20.77,22.04,28.63,15.14,19.01,13.79,30.94,26.89,12.62,12.41
CC24_312b,Approval,approval4_dist,% Somewhat disapprove,Job approval — U.S. Congress,43.42,50.49,43.07,37.67,45.45,39.33,41.0,37.48,43.97,43.61,45.62
CC24_312b,Approval,approval4_dist,% Strongly disapprove,Job approval — U.S. Congress,33.36,26.89,32.64,28.8,38.89,39.71,43.55,24.23,24.86,43.37,41.59
