state_fips,state_abbr,cand_code,cand_label,primary_cluster,secondary_cluster,w_primary,w_secondary,cand_type,state_share_primary,state_share_secondary,cooc_rate
13,GA,STY/LBR,STY/LBR,2,1.0,0.5,0.5,cooc,0.1712,0.1631,0.18
13,GA,CON/CUP,CON/CUP,0,6.0,0.6739,0.3261,cooc,0.1854,0.1181,0.1156
13,GA,CON/NAT,CON/NAT,0,3.0,0.5,0.5,cooc,0.1854,0.0741,0.1046
13,GA,STY/POP,STY/POP,2,5.0,0.5,0.5,cooc,0.1712,0.0962,0.0999
13,GA,LBR/LIB,LBR/LIB,1,4.0,0.5,0.5,cooc,0.1631,0.0863,0.0828
13,GA,CON/POP,CON/POP,0,5.0,0.7,0.3,cooc,0.1854,0.0962,0.075
13,GA,CON/LBR,CON/LBR,0,1.0,0.55,0.45,wildcard,0.1854,0.1631,
13,GA,CON/STY,CON/STY,0,2.0,0.55,0.45,wildcard,0.1854,0.1712,
15,HI,CON,CON,0,,1.0,0.0,pure,0.1711,,
15,HI,LBR,LBR,1,,1.0,0.0,pure,0.2315,,
15,HI,STY,STY,2,,1.0,0.0,pure,0.1104,,
15,HI,LIB,LIB,4,,1.0,0.0,pure,0.1548,,
15,HI,POP,POP,5,,1.0,0.0,pure,0.1073,,
15,HI,CUP,CUP,6,,1.0,0.0,pure,0.0542,,
15,HI,OAO,OAO,7,,1.0,0.0,pure,0.0907,,
15,HI,LBR/STY,LBR/STY,1,2.0,0.7,0.3,cooc,0.2315,0.1104,0.2081
15,HI,LBR/LIB,LBR/LIB,1,4.0,0.5,0.5,cooc,0.2315,0.1548,0.1654
15,HI,STY/POP,STY/POP,2,5.0,0.5,0.5,cooc,0.1104,0.1073,0.1138
15,HI,CON/POP,CON/POP,0,5.0,0.7,0.3,cooc,0.1711,0.1073,0.108
15,HI,OAO/CUP,OAO/CUP,7,6.0,0.7,0.3,cooc,0.0907,0.0542,0.0739
15,HI,CON/CUP,CON/CUP,0,6.0,0.7,0.3,cooc,0.1711,0.0542,0.0436
15,HI,CON/LIB,CON/LIB,0,4.0,0.55,0.45,wildcard,0.1711,0.1548,
15,HI,LBR/CON,LBR/CON,1,0.0,0.575,0.425,wildcard,0.2315,0.1711,
16,ID,CON,CON,0,,1.0,0.0,pure,0.2046,,
16,ID,LBR,LBR,1,,1.0,0.0,pure,0.0996,,
16,ID,STY,STY,2,,1.0,0.0,pure,0.0988,,
16,ID,NAT,NAT,3,,1.0,0.0,pure,0.118,,
16,ID,LIB,LIB,4,,1.0,0.0,pure,0.0677,,
16,ID,POP,POP,5,,1.0,0.0,pure,0.1683,,
16,ID,CUP,CUP,6,,1.0,0.0,pure,0.116,,
16,ID,DSA,DSA,8,,1.0,0.0,pure,0.0633,,
16,ID,CON/NAT,CON/NAT,0,3.0,0.5,0.5,cooc,0.2046,0.118,0.1787
16,ID,CON/POP,CON/POP,0,5.0,0.7,0.3,cooc,0.2046,0.1683,0.1274
16,ID,LBR/STY,LBR/STY,1,2.0,0.6647,0.3353,cooc,0.0996,0.0988,0.1083
16,ID,POP/STY,POP/STY,5,2.0,0.7,0.3,cooc,0.1683,0.0988,0.1024
16,ID,POP/CUP,POP/CUP,5,6.0,0.557,0.443,cooc,0.1683,0.116,0.0887
16,ID,CON/CUP,CON/CUP,0,6.0,0.6513,0.3487,cooc,0.2046,0.116,0.0787
17,IL,CON,CON,0,,1.0,0.0,pure,0.1695,,
17,IL,LBR,LBR,1,,1.0,0.0,pure,0.1475,,
17,IL,STY,STY,2,,1.0,0.0,pure,0.1112,,
17,IL,NAT,NAT,3,,1.0,0.0,pure,0.0703,,
17,IL,LIB,LIB,4,,1.0,0.0,pure,0.1091,,
17,IL,POP,POP,5,,1.0,0.0,pure,0.0971,,
17,IL,CUP,CUP,6,,1.0,0.0,pure,0.1062,,
17,IL,OAO,OAO,7,,1.0,0.0,pure,0.0659,,
17,IL,DSA,DSA,8,,1.0,0.0,pure,0.0606,,
17,IL,PRG,PRG,9,,1.0,0.0,pure,0.0625,,
17,IL,LBR/STY,LBR/STY,1,2.0,0.6469,0.3531,cooc,0.1475,0.1112,0.1094
17,IL,CON/POP,CON/POP,0,5.0,0.7,0.3,cooc,0.1695,0.0971,0.0978
17,IL,LBR/LIB,LBR/LIB,1,4.0,0.5,0.5,cooc,0.1475,0.1091,0.0819
17,IL,STY/POP,STY/POP,2,5.0,0.5,0.5,cooc,0.1112,0.0971,0.0718
17,IL,LBR/CUP,LBR/CUP,1,6.0,0.5,0.5,cooc,0.1475,0.1062,0.0598
17,IL,CON/NAT,CON/NAT,0,3.0,0.5,0.5,cooc,0.1695,0.0703,0.0593
18,IN,CON,CON,0,,1.0,0.0,pure,0.1989,,
18,IN,LBR,LBR,1,,1.0,0.0,pure,0.1364,,
18,IN,STY,STY,2,,1.0,0.0,pure,0.1352,,
18,IN,NAT,NAT,3,,1.0,0.0,pure,0.1034,,
18,IN,LIB,LIB,4,,1.0,0.0,pure,0.0769,,
18,IN,POP,POP,5,,1.0,0.0,pure,0.1105,,
18,IN,CUP,CUP,6,,1.0,0.0,pure,0.0994,,
18,IN,OAO,OAO,7,,1.0,0.0,pure,0.0538,,
18,IN,DSA,DSA,8,,1.0,0.0,pure,0.0502,,
18,IN,CON/NAT,CON/NAT,0,3.0,0.5,0.5,cooc,0.1989,0.1034,0.1417
18,IN,LBR/STY,LBR/STY,1,2.0,0.596,0.404,cooc,0.1364,0.1352,0.1415
18,IN,CON/POP,CON/POP,0,5.0,0.7,0.3,cooc,0.1989,0.1105,0.105
18,IN,STY/POP,STY/POP,2,5.0,0.5,0.5,cooc,0.1352,0.1105,0.1043
18,IN,CON/CUP,CON/CUP,0,6.0,0.5211,0.4789,cooc,0.1989,0.0994,0.075
18,IN,LBR/LIB,LBR/LIB,1,4.0,0.5,0.5,cooc,0.1364,0.0769,0.0726
19,IA,CON,CON,0,,1.0,0.0,pure,0.1851,,
19,IA,LBR,LBR,1,,1.0,0.0,pure,0.1425,,
19,IA,STY,STY,2,,1.0,0.0,pure,0.1262,,
19,IA,NAT,NAT,3,,1.0,0.0,pure,0.1052,,
19,IA,LIB,LIB,4,,1.0,0.0,pure,0.0617,,
19,IA,POP,POP,5,,1.0,0.0,pure,0.1099,,
19,IA,CUP,CUP,6,,1.0,0.0,pure,0.1206,,
19,IA,OAO,OAO,7,,1.0,0.0,pure,0.0551,,
