respondent_id,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20
44201,STY_REF,CON_STY,REF_STY,DH,MRJ,CON_CTR,CON_REF,SD_CON,RH,STY_SD,SD_STY,CON_SD,BE,SD_CTR,MW,SD_LIB,LK,ZN,JR,CO
44202,BE,DH,REF_STY,CON_REF,STY_REF,CON_STY,CON_CTR,STY_SD,RH,ZN,LK,MW,SD_CTR,SD_LIB,CON_SD,SD_CON,MRJ,JR,CO,SD_STY
44203,MRJ,STY_REF,SD_LIB,REF_STY,JR,CON_SD,MW,RH,SD_CTR,STY_SD,ZN,BE,CO,DH,CON_STY,CON_CTR,SD_STY,LK,CON_REF,SD_CON
44204,CON_SD,MW,SD_CON,CON_CTR,CON_STY,STY_SD,RH,SD_CTR,CON_REF,SD_STY,SD_LIB,MRJ,CO,LK,STY_REF,REF_STY,ZN,JR,DH,BE
44205,CO,SD_LIB,SD_CTR,MW,LK,JR,CON_SD,SD_CON,CON_CTR,SD_STY,STY_SD,CON_STY,RH,BE,CON_REF,REF_STY,MRJ,ZN,DH,STY_REF
44206,RH,CON_REF,BE,CON_CTR,REF_STY,CON_STY,DH,CON_SD,STY_REF,SD_CON,LK,MRJ,STY_SD,SD_CTR,SD_STY,ZN,MW,CO,JR,SD_LIB
44207,CON_REF,RH,CON_SD,CON_STY,BE,REF_STY,DH,STY_REF,CON_CTR,SD_CON,MRJ,LK,STY_SD,SD_CTR,SD_STY,ZN,JR,MW,CO,SD_LIB
44208,ZN,JR,SD_LIB,MW,SD_STY,STY_SD,MRJ,CO,CON_SD,SD_CTR,SD_CON,STY_REF,CON_STY,REF_STY,LK,DH,RH,CON_REF,CON_CTR,BE
44209,STY_SD,MRJ,MW,STY_REF,SD_CTR,SD_STY,CON_SD,SD_CON,CON_STY,ZN,REF_STY,JR,LK,SD_LIB,CO,CON_CTR,CON_REF,DH,RH,BE
44210,ZN,STY_SD,SD_STY,MRJ,MW,STY_REF,CO,SD_LIB,JR,SD_CON,SD_CTR,CON_SD,CON_STY,REF_STY,LK,CON_REF,BE,DH,CON_CTR,RH
44211,MRJ,STY_SD,SD_STY,MW,SD_CON,STY_REF,SD_LIB,CON_STY,SD_CTR,CON_SD,ZN,REF_STY,CO,CON_CTR,CON_REF,JR,RH,LK,DH,BE
44212,SD_CTR,MW,CO,SD_LIB,CON_SD,SD_STY,LK,SD_CON,STY_SD,CON_CTR,CON_STY,JR,RH,MRJ,CON_REF,STY_REF,ZN,REF_STY,DH,BE
44213,STY_SD,SD_STY,MW,MRJ,CON_STY,STY_REF,ZN,CON_SD,SD_CON,REF_STY,SD_LIB,SD_CTR,CON_REF,DH,RH,CO,CON_CTR,LK,BE,JR
44214,BE,DH,RH,CON_REF,REF_STY,CON_STY,CON_CTR,STY_REF,CON_SD,SD_CON,LK,MRJ,SD_CTR,SD_STY,STY_SD,JR,CO,MW,SD_LIB,ZN
44215,CON_REF,LK,CON_CTR,RH,CON_STY,MRJ,SD_CTR,DH,CON_SD,BE,SD_CON,REF_STY,STY_REF,STY_SD,SD_STY,MW,SD_LIB,ZN,CO,JR
44216,CO,MW,STY_SD,SD_LIB,SD_STY,SD_CTR,SD_CON,ZN,JR,CON_SD,MRJ,CON_STY,LK,CON_REF,REF_STY,RH,CON_CTR,STY_REF,BE,DH
44217,SD_STY,MW,ZN,STY_SD,SD_LIB,SD_CTR,MRJ,CO,SD_CON,CON_SD,JR,STY_REF,LK,CON_STY,RH,CON_CTR,REF_STY,CON_REF,DH,BE
44218,MW,JR,SD_LIB,CO,SD_STY,SD_CTR,ZN,STY_SD,SD_CON,CON_SD,MRJ,LK,CON_STY,REF_STY,CON_CTR,STY_REF,RH,CON_REF,BE,DH
44219,SD_STY,STY_SD,CON_SD,SD_CON,CON_STY,MW,SD_CTR,RH,CON_CTR,SD_LIB,CON_REF,MRJ,STY_REF,CO,LK,REF_STY,DH,ZN,BE,JR
44220,LK,SD_CTR,SD_CON,CON_CTR,CON_SD,RH,CON_STY,SD_LIB,SD_STY,STY_SD,CON_REF,CO,MW,STY_REF,MRJ,REF_STY,JR,DH,BE,ZN
44221,SD_STY,ZN,MRJ,SD_CTR,STY_SD,SD_LIB,MW,JR,CO,CON_SD,SD_CON,REF_STY,STY_REF,CON_STY,LK,RH,CON_CTR,CON_REF,DH,BE
44222,JR,ZN,SD_LIB,CO,MW,SD_CTR,SD_STY,STY_SD,SD_CON,CON_SD,MRJ,LK,STY_REF,CON_STY,RH,CON_CTR,BE,DH,REF_STY,CON_REF
44223,MRJ,STY_REF,CON_STY,REF_STY,CON_SD,STY_SD,SD_STY,MW,CON_REF,DH,SD_CON,RH,SD_CTR,ZN,CON_CTR,SD_LIB,BE,LK,JR,CO
44224,CON_SD,LK,MW,SD_CTR,SD_CON,CON_CTR,RH,CON_STY,SD_LIB,STY_REF,SD_STY,STY_SD,MRJ,CO,CON_REF,REF_STY,JR,DH,ZN,BE
