variable,domain,type,stat_label,question,overall,CON,SD,STY,NAT,LIB,POP,CUP,C7,DSA,PRG,house_chamber
CC24_440c,Racial & Gender,likert5_dist,% Strongly Agree,Women seek to gain power by getting control over men,7.14,8.44,2.19,7.74,18.68,0.76,14.85,9.59,3.18,0.07,0.0,7.2272
CC24_440c,Racial & Gender,likert5_dist,% Agree,Women seek to gain power by getting control over men,15.54,22.43,8.93,16.76,30.24,2.69,26.22,19.62,10.25,0.36,0.04,16.1113
CC24_440c,Racial & Gender,likert5_dist,% Neither,Women seek to gain power by getting control over men,26.67,34.84,25.2,34.32,31.43,13.23,33.23,29.78,28.78,6.82,2.72,28.3998
CC24_440c,Racial & Gender,likert5_dist,% Disagree,Women seek to gain power by getting control over men,17.71,19.53,22.25,17.54,10.51,20.37,13.17,19.83,23.6,13.36,10.76,18.4117
CC24_440c,Racial & Gender,likert5_dist,% Strongly Disagree,Women seek to gain power by getting control over men,32.94,14.76,41.43,23.64,9.14,62.94,12.52,21.18,34.19,79.39,86.48,29.8475
CC24_440d,Racial & Gender,likert5,"Mean (1=Strongly Agree, 5=Strongly Disagree)",Women are too easily offended,3.2044,2.5764,3.7287,3.1194,2.0821,4.1691,2.4685,2.8954,3.272,4.5808,4.6985,3.166
CC24_440d,Racial & Gender,likert5_dist,% Strongly Agree,Women are too easily offended,12.16,17.09,3.43,10.4,33.5,1.56,22.69,14.7,6.0,0.28,0.08,11.7671
CC24_440d,Racial & Gender,likert5_dist,% Agree,Women are too easily offended,22.7,34.93,14.04,22.34,35.69,7.62,32.76,28.29,23.3,3.51,0.77,23.2059
CC24_440d,Racial & Gender,likert5_dist,% Neither,Women are too easily offended,23.45,27.89,23.74,31.05,22.8,15.79,27.48,25.0,28.87,7.46,6.66,24.9664
CC24_440d,Racial & Gender,likert5_dist,% Disagree,Women are too easily offended,15.93,13.42,23.82,17.34,5.12,22.43,9.15,16.79,21.14,15.34,14.21,16.7857
CC24_440d,Racial & Gender,likert5_dist,% Strongly Disagree,Women are too easily offended,25.76,6.67,34.97,18.87,2.89,52.61,7.92,15.22,20.68,73.4,78.28,23.2758
