,caseid,countyfips,cd119
816,1860959940.0,48251,25
817,1860959584.0,17167,13
818,1860941546.0,12111,21
819,1860960092.0,08041,5
820,1860957540.0,26081,2
821,1860943234.0,34007,1
822,1860940844.0,22001,3
823,1860940006.0,06037,32
824,1860941066.0,34001,2
825,1860672094.0,21127,5
826,1861008512.0,54063,1
827,1860564332.0,36019,21
828,1860965162.0,13223,14
829,1860717538.0,05007,3
830,1860958164.0,16069,1
831,1860979346.0,55123,3
832,1860994782.0,46091,1
833,1860985268.0,13321,8
834,1860923090.0,51059,8
835,1860964586.0,42091,4
836,1860960660.0,12103,13
837,1861024172.0,39099,6
838,1860973148.0,36047,7
839,1860986448.0,42021,13
840,1861034296.0,27139,2
841,1861063016.0,29225,7
842,1861044250.0,10001,1
843,1861051568.0,26075,5
844,1861063384.0,13259,2
845,1861081296.0,27053,3
846,1861010384.0,17031,2
847,1860820706.0,37141,7
848,1861086502.0,13067,6
849,1861080524.0,25013,1
850,1861087294.0,55089,6
851,1861094540.0,36061,12
852,1861086904.0,48061,34
853,1861087064.0,34007,1
854,1861094832.0,47155,1
855,1860790800.0,06073,49
856,1860521814.0,55017,7
857,1861086554.0,13135,9
858,1861094478.0,09001,3
859,1861087088.0,27111,7
860,1860272272.0,34013,11
861,1861080928.0,50011,1
862,1861095370.0,39095,9
863,1861086938.0,46103,1
864,1861086664.0,48439,12
865,1861095254.0,21215,4
866,1861080466.0,36029,26
867,1860524896.0,21117,4
868,1861117756.0,17031,4
869,1861119022.0,27141,6
870,1861118738.0,25017,5
871,1861118014.0,49003,1
872,1861118734.0,49035,2
873,1861118022.0,19193,4
874,1859996702.0,41053,6
875,1861117878.0,41067,1
876,1861124184.0,25027,2
877,1861095546.0,36119,16
878,1861095268.0,10001,1
879,1860544578.0,25005,4
880,1861087216.0,01089,5
881,1861117840.0,29051,3
882,1861034144.0,24015,1
883,1861094916.0,41033,2
884,1861118508.0,29071,2
885,1860506666.0,48201,7
886,1860454684.0,04017,2
887,1860672228.0,39151,6
888,1861130662.0,49039,4
889,1861144266.0,42129,14
890,1861131676.0,12091,1
891,1861118988.0,25005,4
892,1861123974.0,33017,1
893,1860404178.0,25009,6
894,1861131952.0,55071,6
895,1861142540.0,27037,2
896,1860893866.0,48039,22
897,1860360544.0,26049,8
898,1860862192.0,53033,7
899,1860877992.0,26163,12
900,1859644684.0,17037,14
901,1860772682.0,40017,5
902,1859951096.0,35013,2
903,1860429480.0,18019,9
904,1861170560.0,47109,8
905,1860790172.0,48029,20
906,1860849022.0,23017,2
907,1861159774.0,36061,12
908,1861170548.0,36119,16
909,1861137030.0,32003,4
910,1861118272.0,20173,4
911,1860653956.0,48061,34
912,1861096574.0,37081,9
913,1861177000.0,06037,34
914,1861176832.0,51740,3
915,1860561008.0,06111,24
916,1861128644.0,42029,6
917,1861165080.0,48029,20
918,1861177556.0,39089,12
919,1861158788.0,42031,15
920,1861176936.0,06073,51
921,1861176812.0,35045,3
922,1860992082.0,37147,3
923,1860521436.0,06037,30
924,1861170762.0,20177,2
925,1861131008.0,09007,2
926,1861184976.0,47069,8
927,1861176642.0,27053,5
928,1861118542.0,06075,11
929,1861177656.0,47009,2
930,1861190780.0,12057,15
931,1861176892.0,48029,20
932,1861189382.0,55085,7
933,1861177860.0,29186,8
934,1861183008.0,12111,21
935,1861188942.0,26099,10
936,1861177340.0,20035,4
937,1860377854.0,34009,2
938,1861177708.0,42091,4
939,1861201466.0,06085,18
940,1861176802.0,48201,29
941,1861189818.0,36085,11
942,1861202396.0,25023,8
943,1860265732.0,06037,28
944,1861118708.0,09009,3
945,1861177782.0,09003,1
946,1861216848.0,47141,6
947,1860671652.0,25017,3
948,1861125764.0,47111,6
949,1861202350.0,24033,4
950,1861147650.0,40079,2
951,1861222930.0,42077,7
952,1861201574.0,01113,2
953,1857889076.0,34025,4
954,1861195650.0,13135,4
955,1861226754.0,04013,8
956,1861222534.0,04013,5
957,1861216914.0,48215,15
958,1861227408.0,29071,2
959,1861195470.0,08041,5
960,1861222896.0,27123,4
961,1861223002.0,48157,7
962,1861205718.0,12057,15
963,1861223270.0,06019,20
964,1860653856.0,39153,13
965,1861102770.0,05045,2
966,1861226874.0,06067,6
967,1860560312.0,49057,1
968,1861195476.0,04021,6
969,1861227100.0,16055,1
970,1861233648.0,12011,20
971,1861233178.0,06067,7
972,1860560650.0,29510,1
973,1861222726.0,09003,1
974,1861249666.0,18163,8
975,1861222580.0,48113,30
976,1858869202.0,01089,5
977,1861227250.0,21103,4
978,1861241904.0,25025,7
979,1861233606.0,48061,34
980,1861227098.0,06013,10
981,1861246168.0,48303,19
982,1861264898.0,51660,6
983,1861236256.0,06047,13
984,1861237568.0,29189,1
985,1861237774.0,49057,1
986,1861233320.0,36013,23
987,1861242462.0,06081,16
988,1860945700.0,04013,5
989,1860592320.0,32003,4
990,1861233510.0,04013,8
991,1861249068.0,15007,2
992,1861216856.0,22073,5
993,1861265152.0,17043,8
